Blender 4.3.2
Fra:1 Mem:35.66M (Peak 35.66M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail2_0.7
Fra:1 Mem:35.68M (Peak 35.68M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg17_1
Fra:1 Mem:35.69M (Peak 35.69M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.35
Fra:1 Mem:35.71M (Peak 35.71M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg17_-1
Fra:1 Mem:35.71M (Peak 35.71M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.7
Fra:1 Mem:35.74M (Peak 35.74M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword17
Fra:1 Mem:35.74M (Peak 35.74M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.35
Fra:1 Mem:35.77M (Peak 35.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor17
Fra:1 Mem:35.78M (Peak 35.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.7
Fra:1 Mem:35.80M (Peak 35.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm17
Fra:1 Mem:35.80M (Peak 35.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail9_0.35
Fra:1 Mem:35.84M (Peak 35.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail9_0.7
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail10_0.35
Fra:1 Mem:35.87M (Peak 35.87M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead17
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail10_0.7
Fra:1 Mem:35.93M (Peak 35.93M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail11_0.35
Fra:1 Mem:35.95M (Peak 35.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail11_0.7
Fra:1 Mem:35.96M (Peak 35.96M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody17
Fra:1 Mem:35.97M (Peak 35.97M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail12_0.35
Fra:1 Mem:35.98M (Peak 35.98M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg16_1
Fra:1 Mem:36.00M (Peak 36.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail12_0.7
Fra:1 Mem:36.02M (Peak 36.02M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.35
Fra:1 Mem:36.03M (Peak 36.03M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.7
Fra:1 Mem:36.06M (Peak 36.06M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail14_0.35
Fra:1 Mem:36.07M (Peak 36.07M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword16
Fra:1 Mem:36.08M (Peak 36.08M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail14_0.7
Fra:1 Mem:36.10M (Peak 36.10M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor16
Fra:1 Mem:36.11M (Peak 36.11M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TLeg-0.5
Fra:1 Mem:36.14M (Peak 36.14M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm16
Fra:1 Mem:36.17M (Peak 36.17M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TLeg0.5
Fra:1 Mem:36.21M (Peak 36.21M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead16
Fra:1 Mem:36.21M (Peak 36.21M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TLeg-0.001
Fra:1 Mem:36.27M (Peak 36.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TLeg0.001
Fra:1 Mem:36.30M (Peak 36.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody16
Fra:1 Mem:36.32M (Peak 36.32M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Deck
Fra:1 Mem:36.33M (Peak 36.33M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg15_1
Fra:1 Mem:36.34M (Peak 36.34M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail_0_0.55
Fra:1 Mem:36.36M (Peak 36.36M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail_0_-0.55
Fra:1 Mem:36.36M (Peak 36.36M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ladder
