Blender 4.3.2
Fra:1 Mem:68.22M (Peak 68.22M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lad1
Fra:1 Mem:68.24M (Peak 68.24M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lad2
Fra:1 Mem:68.25M (Peak 68.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lad3
Fra:1 Mem:68.27M (Peak 68.27M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lad4
Fra:1 Mem:68.30M (Peak 68.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lad5
Fra:1 Mem:68.31M (Peak 68.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LadL
Fra:1 Mem:68.33M (Peak 68.33M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LadR
Fra:1 Mem:68.35M (Peak 68.35M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KTorso
Fra:1 Mem:68.35M (Peak 68.35M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KBelt
Fra:1 Mem:68.42M (Peak 68.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KChest
Fra:1 Mem:68.47M (Peak 68.47M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KHead
Fra:1 Mem:68.46M (Peak 68.47M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KEyeL
Fra:1 Mem:68.53M (Peak 68.53M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KEyeR
Fra:1 Mem:68.68M (Peak 68.68M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KPupL
Fra:1 Mem:68.74M (Peak 68.74M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KPupR
Fra:1 Mem:68.85M (Peak 68.85M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KBand
Fra:1 Mem:68.87M (Peak 68.87M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp0
Fra:1 Mem:68.88M (Peak 68.88M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem0
Fra:1 Mem:68.90M (Peak 68.90M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp1
Fra:1 Mem:68.95M (Peak 68.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem1
Fra:1 Mem:68.95M (Peak 68.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp2
Fra:1 Mem:68.97M (Peak 68.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem2
Fra:1 Mem:69.02M (Peak 69.02M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp3
Fra:1 Mem:69.09M (Peak 69.09M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KSp4
Fra:1 Mem:69.10M (Peak 69.10M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KGem3
